rb_id,player_name,team,season,week,rushing_yards,attempts,offense_pct,opponent,opponent_rush_defense_rank,rb_rush_yards_last5,rb_rush_attempts_last5,rb_injury_status,is_dome,rest_advantage,spread_line,total_line
00-0033906,Alvin Kamara,NO,2021,3,89.0,24,0.84,NE,,44.0,14.0,0,0,0,-3.0,44.0
00-0034844,Saquon Barkley,NYG,2021,3,51.0,16,0.86,ATL,10.0,57.0,13.0,0,0,3,3.0,48.0
00-0035243,Miles Sanders,PHI,2021,3,27.0,2,0.6,DAL,3.0,64.5,14.0,0,0,0,-3.5,51.5
00-0036893,Najee Harris,PIT,2021,3,40.0,14,0.95,CIN,7.0,41.5,13.0,0,0,0,2.5,42.5
00-0032764,Derrick Henry,TEN,2021,3,113.0,28,0.72,IND,9.0,120.0,26.0,0,0,0,4.5,47.0
00-0034681,Chase Edmonds,ARI,2021,4,120.0,12,0.67,LA,,36.0,9.5,0,1,0,-3.5,53.5
00-0032063,Mike Davis,ATL,2021,4,14.0,13,0.67,WAS,8.0,45.666666666666664,12.0,0,0,0,-1.0,47.5
00-0030513,Latavius Murray,BAL,2021,4,59.0,18,0.62,DEN,5.0,,,0,0,0,-1.0,44.0
00-0035685,David Montgomery,CHI,2021,4,106.0,23,0.62,DET,14.0,47.5,15.0,0,0,0,3.0,42.0
00-0033897,Joe Mixon,CIN,2021,4,67.0,16,0.69,JAX,2.0,95.33333333333333,22.333333333333332,0,0,0,7.5,46.0
00-0033045,Ezekiel Elliott,DAL,2021,4,143.0,20,0.75,CAR,1.0,66.33333333333333,14.666666666666666,0,1,-4,4.5,51.5
00-0036275,D'Andre Swift,DET,2021,4,16.0,8,0.73,CHI,12.0,38.0,9.5,1,0,0,-3.0,42.0
00-0033293,Aaron Jones,GB,2021,4,48.0,15,0.63,PIT,8.0,74.5,18.0,0,0,0,6.5,45.0
00-0035831,James Robinson,JAX,2021,4,78.0,18,0.95,CIN,6.0,36.0,8.0,0,0,0,-7.5,46.0
00-0035664,Darrell Henderson,LA,2021,4,89.0,14,0.9,ARI,18.0,61.5,14.5,1,1,0,3.5,53.5
00-0033699,Austin Ekeler,LAC,2021,4,117.0,15,0.6,LV,3.0,54.5,10.0,0,1,0,3.0,52.0
00-0035700,Josh Jacobs,LV,2021,4,40.0,13,0.63,LAC,16.0,,,1,1,0,-3.0,52.0
00-0031806,Malcolm Brown,MIA,2021,4,23.0,8,0.67,IND,15.0,,,0,0,0,2.5,41.5
00-0035657,Damien Harris,NE,2021,4,-4.0,4,0.61,TB,4.0,,,0,0,0,-6.0,49.5
00-0033906,Alvin Kamara,NO,2021,4,120.0,26,0.87,NYG,10.0,59.0,17.333333333333332,0,1,0,7.5,43.0
00-0034844,Saquon Barkley,NYG,2021,4,52.0,13,0.89,NO,13.0,54.0,14.5,0,1,0,-7.5,43.0
00-0035243,Miles Sanders,PHI,2021,4,13.0,7,0.64,KC,7.0,52.0,10.0,0,0,-1,-7.5,53.5
00-0036893,Najee Harris,PIT,2021,4,62.0,15,0.8,GB,11.0,41.0,13.333333333333334,0,0,0,-6.5,45.0
00-0033856,Leonard Fournette,TB,2021,4,92.0,20,0.82,NE,17.0,32.0,9.0,0,0,0,6.0,49.5
00-0034681,Chase Edmonds,ARI,2021,5,15.0,6,0.61,SF,11.0,64.0,10.333333333333334,1,1,0,6.0,48.5
00-0032063,Mike Davis,ATL,2021,5,53.0,13,0.64,NYJ,21.0,37.75,12.25,0,0,0,3.0,45.5
00-0036251,Zack Moss,BUF,2021,5,37.0,11,0.74,KC,3.0,,,0,0,0,-2.5,57.0
00-0036555,Chuba Hubbard,CAR,2021,5,101.0,24,0.65,PHI,14.0,,,0,0,0,2.5,46.0
00-0033526,Samaje Perine,CIN,2021,5,59.0,11,0.61,GB,13.0,,,0,0,3,-2.0,50.0
00-0033045,Ezekiel Elliott,DAL,2021,5,110.0,21,0.6,NYG,16.0,85.5,16.0,1,1,0,7.5,53.0
00-0032144,Melvin Gordon,DEN,2021,5,34.0,9,0.6,PIT,10.0,,,1,0,0,2.0,40.0
00-0036275,D'Andre Swift,DET,2021,5,51.0,11,0.74,MIN,18.0,30.666666666666668,9.0,1,1,0,-10.0,49.5
00-0033293,Aaron Jones,GB,2021,5,103.0,14,0.69,CIN,12.0,65.66666666666667,17.0,0,0,-3,2.0,50.0
00-0035831,James Robinson,JAX,2021,5,149.0,18,0.68,TEN,1.0,50.0,11.333333333333334,0,0,3,-4.0,49.0
00-0035664,Darrell Henderson,LA,2021,5,82.0,17,0.66,SEA,23.0,70.66666666666667,14.333333333333334,0,0,0,2.5,53.5
00-0033699,Austin Ekeler,LAC,2021,5,66.0,17,0.71,CLE,6.0,75.33333333333333,11.666666666666666,0,1,-1,2.5,46.5
00-0035700,Josh Jacobs,LV,2021,5,48.0,15,0.69,CHI,8.0,40.0,13.0,0,1,-1,5.5,46.0
00-0035311,Myles Gaskin,MIA,2021,5,25.0,5,0.69,TB,2.0,25.0,5.0,0,0,0,-11.0,48.0
00-0034972,Alexander Mattison,MIN,2021,5,113.0,25,0.66,DET,19.0,112.0,26.0,0,1,0,10.0,49.5
00-0033906,Alvin Kamara,NO,2021,5,71.0,16,0.88,WAS,4.0,74.25,19.5,0,0,0,2.5,43.5
00-0032972,Devontae Booker,NYG,2021,5,42.0,16,0.88,DAL,5.0,,,0,1,0,-7.5,53.0
00-0035243,Miles Sanders,PHI,2021,5,45.0,11,0.75,CAR,15.0,42.25,9.25,0,0,0,-2.5,46.0
00-0036893,Najee Harris,PIT,2021,5,122.0,23,0.65,DEN,9.0,46.25,13.75,0,0,0,-2.0,40.0
00-0032426,Alex Collins,SEA,2021,5,47.0,15,0.71,LA,22.0,,,0,0,0,-2.5,53.5
00-0036567,Elijah Mitchell,SF,2021,5,43.0,9,0.68,ARI,20.0,73.0,18.0,0,1,0,-6.0,48.5
00-0033856,Leonard Fournette,TB,2021,5,67.0,12,0.62,MIA,17.0,62.0,14.5,0,0,0,11.0,48.0
00-0032764,Derrick Henry,TEN,2021,5,130.0,29,0.77,JAX,7.0,117.66666666666667,26.666666666666668,0,0,-3,4.0,49.0
00-0036555,Chuba Hubbard,CAR,2021,6,61.0,16,0.65,MIN,13.0,101.0,24.0,0,0,0,-2.5,45.5
00-0036906,Khalil Herbert,CHI,2021,6,97.0,19,0.89,GB,8.0,,,0,0,0,-5.5,44.0
00-0033897,Joe Mixon,CIN,2021,6,94.0,18,0.63,DET,19.0,88.25,20.75,1,1,0,3.5,46.5
