week,matchup,sgo_player_id,player_name_norm,stat,line,over_odds,under_odds,actual,is_close_line
1,DAL@PHI,JALEN_HURTS_1_NFL,jalen hurts,passing_yards,214.5,-116,-114,152,True
1,DAL@PHI,SAQUON_BARKLEY_1_NFL,saquon barkley,rushing_yards,94.5,-121,-118,60,True
1,DAL@PHI,AJ_BROWN_1_NFL,aj brown,receiving_yards,70.5,-114,-111,8,True
1,DAL@PHI,DEVONTA_SMITH_1_NFL,devonta smith,receiving_yards,53.5,-120,-114,16,True
1,DAL@PHI,DAK_PRESCOTT_1_NFL,dak prescott,passing_yards,245.5,-115,-115,188,True
1,DAL@PHI,CEEDEE_LAMB_1_NFL,ceedee lamb,receiving_yards,72.5,-106,-110,110,True
1,DAL@PHI,DALLAS_GOEDERT_1_NFL,dallas goedert,receiving_yards,39.5,-107,-111,44,True
1,DAL@PHI,JAHAN_DOTSON_1_NFL,jahan dotson,receiving_yards,7.5,-113,-114,59,True
1,DAL@PHI,JAKE_FERGUSON_1_NFL,jake ferguson,receiving_yards,38.5,-111,-116,23,True
1,DAL@PHI,JALEN_TOLBERT_1_NFL,jalen tolbert,receiving_yards,12.5,-113,-115,0,True
1,DAL@PHI,GEORGE_PICKENS_1_NFL,george pickens,receiving_yards,55.5,-115,-115,30,True
1,DAL@PHI,JAVONTE_WILLIAMS_1_NFL,javonte williams,receiving_yards,13.5,-114,-112,10,True
1,DAL@PHI,LUKE_SCHOONMAKER_1_NFL,luke schoonmaker,receiving_yards,0.5,+100,+100,0,True
1,DAL@PHI,GRANT_CALCATERRA_1_NFL,grant calcaterra,receiving_yards,0.5,+100,+100,0,True
1,DAL@PHI,KAVONTAE_TURPIN_1_NFL,kavontae turpin,receiving_yards,16.5,-110,-120,18,True
1,DAL@PHI,JOHN_METCHIE_III_1_NFL,john metchie,receiving_yards,0.5,+100,-140,0,True
1,DAL@PHI,WILL_SHIPLEY_1_NFL,will shipley,rushing_yards,13.5,-115,-113,26,True
1,DAL@PHI,JAYDON_BLUE_1_NFL,jaydon blue,rushing_yards,16.5,-110,-120,0,True
1,DAL@PHI,MILES_SANDERS_1_NFL,miles sanders,rushing_yards,17.5,-119,-114,53,True
1,DAL@PHI,HUNTER_LUEPKE_1_NFL,hunter luepke,rushing_yards,0.5,-105,-125,0,True
1,DAL@PHI,AJ_DILLON_1_NFL,aj dillon,receiving_yards,0.5,+230,-330,0,True
1,KC@LAC,JUSTIN_HERBERT_1_NFL,justin herbert,passing_yards,233.5,-114,-109,318,True
1,KC@LAC,PATRICK_MAHOMES_1_NFL,patrick mahomes,passing_yards,248.5,-117,-112,258,True
1,KC@LAC,LADD_MCCONKEY_1_NFL,ladd mcconkey,receiving_yards,70.5,-118,-115,74,True
1,KC@LAC,ISIAH_PACHECO_1_NFL,isiah pacheco,rushing_yards,46.5,-122,-117,25,True
1,KC@LAC,MARQUISE_BROWN_1_NFL,marquise brown,receiving_yards,99.5,+290,-476,99,True
1,KC@LAC,TRAVIS_KELCE_1_NFL,travis kelce,receiving_yards,50.5,-114,-114,47,True
1,KC@LAC,XAVIER_WORTHY_1_NFL,xavier worthy,receiving_yards,63.5,-118,-115,0,True
1,KC@LAC,QUENTIN_JOHNSTON_1_NFL,quentin johnston,receiving_yards,26.5,+100,+100,79,True
1,KC@LAC,TRE_HARRIS_1_NFL,tre harris,receiving_yards,31.5,+119,+100,11,True
1,KC@LAC,OMARION_HAMPTON_1_NFL,omarion hampton,rushing_yards,47.5,-117,-111,48,True
1,KC@LAC,RASHEE_RICE_1_NFL,rashee rice,receiving_yards,60.5,-116,-112,0,True
1,KC@LAC,WILL_DISSLY_1_NFL,will dissly,receiving_yards,15.5,-118,-115,18,True
1,KC@LAC,NOAH_GRAY_1_NFL,noah gray,receiving_yards,19.5,-115,-114,3,True
1,KC@LAC,KAREEM_HUNT_1_NFL,kareem hunt,rushing_yards,22.5,-117,-114,16,True
1,KC@LAC,TYLER_CONKLIN_1_NFL,tyler conklin,receiving_yards,18.5,-122,-112,50,True
1,KC@LAC,JUJU_SMITHSCHUSTER_1_NFL,juju smithschuster,receiving_yards,20.5,-113,-115,55,True
1,KC@LAC,KEENAN_ALLEN_1_NFL,keenan allen,receiving_yards,40.5,-110,-120,68,True
1,KC@LAC,NAJEE_HARRIS_1_NFL,najee harris,rushing_yards,23.5,-122,-117,5,True
1,KC@LAC,KEANDRE_LAMBERTSMITH_1_NFL,keandre lambertsmith,receiving_yards,0.5,+100,+100,0,True
1,KC@LAC,TYQUAN_THORNTON_1_NFL,tyquan thornton,receiving_yards,8.5,-113,-113,41,True
1,KC@LAC,HASSAN_HASKINS_1_NFL,hassan haskins,rushing_yards,6.5,-125,-105,0,True
1,KC@LAC,DERIUS_DAVIS_1_NFL,derius davis,rushing_yards,0.5,+115,-145,3,True
1,KC@LAC,BRASHARD_SMITH_1_NFL,brashard smith,receiving_yards,7.5,-105,-110,0,True
1,KC@LAC,ELIJAH_MITCHELL_1_NFL,elijah mitchell,rushing_yards,0.5,+130,-175,0,True
1,NYG@WAS,JAYDEN_DANIELS_1_NFL,jayden daniels,passing_yards,235.5,+135,-175,233,True
1,NYG@WAS,MALIK_NABERS_1_NFL,malik nabers,receiving_yards,71.5,+245,-400,71,True
1,NYG@WAS,TERRY_MCLAURIN_1_NFL,terry mclaurin,receiving_yards,30.5,+220,-300,27,True
1,NYG@WAS,TYRONE_TRACY_1_NFL,tyrone tracy,rushing_yards,22.5,-120,-110,24,True
1,NYG@WAS,BRIAN_ROBINSON_1_NFL,brian robinson,rushing_yards,53.5,+100,-112,0,True
1,NYG@WAS,WANDALE_ROBINSON_1_NFL,wandale robinson,receiving_yards,35.5,-125,-105,55,True
1,NYG@WAS,DARIUS_SLAYTON_1_NFL,darius slayton,receiving_yards,20.5,-115,-115,0,True
1,NYG@WAS,THEO_JOHNSON_1_NFL,theo johnson,receiving_yards,10.5,+160,-210,5,True
